appName,inputDataSize,sparkDriverCores,sparkDriverMemory,sparkExecutorMemory,sparkReducerMaxSizeInFlight,sparkShuffleCompress,sparkShuffleFileBuffer,sparkShuffleSpillCompress,sparkIoCompressionCodec,sparkRddCompress,sparkMemoryFraction,sparkExecutorCores,sparkDefaultParallelism,sparkLocalityWait,sparkTaskCpus,sparkExecutorInstances,sparkMemoryStorageFraction,duration
WordCount,16,4,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,8,0.3,551871
WordCount,16,4,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,2,0.3,2113216
WordCount,16,1,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1205484
WordCount,16,2,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,860061
WordCount,16,2,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,685790
WordCount,16,2,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,2,0.3,1171346
WordCount,16,4,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,8,0.5,396957
WordCount,16,2,4g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,128,3s,1,4,0.5,462488
WordCount,16,1,4g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.3,363228
WordCount,16,2,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,8,0.5,362526
WordCount,16,4,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,688555
WordCount,16,1,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1011004
WordCount,16,2,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,544202
WordCount,16,1,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,719347
WordCount,16,2,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,360228
WordCount,16,2,4g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,2,0.3,853079
WordCount,16,1,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,4,0.3,596911
WordCount,16,2,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1101986
WordCount,16,1,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,8,0.3,411499
WordCount,16,4,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,612751
WordCount,16,2,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,4,0.5,861903
WordCount,16,4,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,4,0.3,645719
WordCount,16,1,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,537278
WordCount,16,4,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,363543
WordCount,16,1,4g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,557220
WordCount,16,1,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.3,387206
WordCount,16,4,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,8,0.5,509492
WordCount,16,4,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,578770
WordCount,16,2,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,4,0.5,366734
WordCount,16,1,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,8,0.5,385044
WordCount,16,2,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.3,373057
WordCount,16,4,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,4,0.3,507457
WordCount,16,2,2g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,LONG_VALUE
WordCount,16,4,4g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,2,0.5,LONG_VALUE
WordCount,16,4,1g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,4,0.3,LONG_VALUE
WordCount,16,1,2g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.5,LONG_VALUE
WordCount,16,1,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,2g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,LONG_VALUE
WordCount,16,1,2g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.3,LONG_VALUE
WordCount,16,1,1g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,1g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.5,LONG_VALUE
WordCount,16,4,2g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,2,0.5,LONG_VALUE
WordCount,16,4,1g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,4,0.3,LONG_VALUE
WordCount,16,2,2g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,1g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,8,0.3,LONG_VALUE
WordCount,16,2,1g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,4,0.5,LONG_VALUE
WordCount,16,1,1g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.3,LONG_VALUE
WordCount,16,4,4g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,8,0.5,LONG_VALUE
WordCount,16,2,2g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,1g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,1g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,8,0.3,LONG_VALUE
WordCount,16,4,2g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,16,3s,1,8,0.3,LONG_VALUE
WordCount,16,1,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,2,0.5,LONG_VALUE
WordCount,16,4,1g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,2,0.5,LONG_VALUE
WordCount,16,2,2g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.3,LONG_VALUE
WordCount,16,1,2g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.3,LONG_VALUE
WordCount,16,1,1g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,256,3s,1,2,0.5,LONG_VALUE
WordCount,16,1,1g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,4,0.5,LONG_VALUE
WordCount,16,4,1g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,4,0.3,LONG_VALUE
WordCount,16,2,1g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,4,0.5,LONG_VALUE
WordCount,16,4,2g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.3,LONG_VALUE
WordCount,16,4,2g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,2g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.5,LONG_VALUE
WordCount,16,1,1g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,128,3s,1,4,0.3,LONG_VALUE
WordCount,16,2,1g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.5,LONG_VALUE
WordCount,16,2,1g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,8,0.3,LONG_VALUE
WordCount,16,1,1g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.5,LONG_VALUE
WordCount,16,1,1g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.5,LONG_VALUE
WordCount,16,4,1g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,1g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,256,3s,1,4,0.5,LONG_VALUE
WordCount,16,1,1g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.3,LONG_VALUE
WordCount,16,2,1g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.5,LONG_VALUE
WordCount,16,1,2g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,128,3s,1,4,0.3,LONG_VALUE
WordCount,16,4,1g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,8,0.5,LONG_VALUE
WordCount,16,1,2g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,2g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,2g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.5,LONG_VALUE
WordCount,16,2,1g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.3,LONG_VALUE
WordCount,16,1,1g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.5,LONG_VALUE
WordCount,16,2,2g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,8,0.3,LONG_VALUE
WordCount,16,4,2g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.3,LONG_VALUE
WordCount,16,2,2g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.5,LONG_VALUE
WordCount,16,4,1g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,2,0.5,LONG_VALUE
WordCount,16,2,2g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,256,3s,1,8,0.3,LONG_VALUE
WordCount,16,1,1g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.3,LONG_VALUE
WordCount,16,2,1g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,256,3s,1,4,0.5,LONG_VALUE
WordCount,16,2,1g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,2,0.5,LONG_VALUE
WordCount,16,4,2g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,4,0.3,LONG_VALUE
WordCount,16,2,1g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.3,LONG_VALUE
WordCount,16,4,1g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,128,3s,1,2,0.3,LONG_VALUE
WordCount,16,2,1g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,8,0.5,LONG_VALUE
WordCount,16,4,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,8,0.3,551871
WordCount,16,4,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,2,0.3,2113216
WordCount,16,1,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1205484
WordCount,16,2,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,860061
WordCount,16,2,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,685790
WordCount,16,2,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,2,0.3,1171346
WordCount,16,4,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,8,0.5,396957
WordCount,16,2,4g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,128,3s,1,4,0.5,462488
WordCount,16,1,4g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,4,0.3,363228
WordCount,16,2,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,128,3s,1,8,0.5,362526
WordCount,16,4,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,688555
WordCount,16,1,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1011004
WordCount,16,2,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,544202
WordCount,16,1,4g,1g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,719347
WordCount,16,2,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,360228
WordCount,16,2,4g,2g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,2,0.3,853079
WordCount,16,1,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,256,3s,1,4,0.3,596911
WordCount,16,2,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,2,0.5,1101986
WordCount,16,1,4g,4g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,8,0.3,411499
WordCount,16,4,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,2,256,3s,1,2,0.3,612751
WordCount,16,2,4g,8g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,16,3s,1,4,0.5,861903
WordCount,16,4,4g,4g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,1,64,3s,1,4,0.3,645719
WordCount,16,1,4g,2g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,2,0.5,537278
WordCount,16,4,4g,8g,48m,FALSE,64k,TRUE,lz4,FALSE,0.6,2,128,3s,1,4,0.5,363543
WordCount,16,1,4g,1g,48m,TRUE,64k,TRUE,lz4,FALSE,0.6,4,64,3s,1,2,0.3,557220
